bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G06000109107026000442000U1,G06000104420002,060014420002,0.3703251829,0.3566962128,0.3452559029,0.3461597846
G06000109107026000442100U1,G06000104421001,060014421001,0.456389053,0.4555873926,0.4503768844,0.4499374218
G06000109107026000442100U1,G06000104421002,060014421002,0.543610947,0.5444126074,0.5496231156,0.5500625782
G06000109107026000442200U1,G06000104422002,060014422002,1.0,1.0,1.0,1.0
G06000109107026000442200U2,G06000104422003,060014422003,1.0,1.0,1.0,1.0
G06000109107026000442200U3,G06000104422004,060014422004,1.0,1.0,1.0,1.0
G06000109107026000442200U4,G06000104422001,060014422001,1.0,1.0,1.0,1.0
G06000109107026000442200U5,G06000104422002,060014422002,1.0,1.0,1.0,1.0
G06000109107026000442300U1,G06000104423021,060014423021,0.589943245,0.59601942,0.6372214421,0.6341141268
G06000109107026000442300U1,G06000104423023,060014423023,0.410056755,0.40398058,0.3627785579,0.3658858732
G06000109107026000442300U2,G06000104423013,060014423013,1.0,1.0,1.0,1.0
G06000109107026000442300U3,G06000104423011,060014423011,1.0,1.0,1.0,1.0
G06000109107026000442300U4,G06000104423012,060014423012,0.5061873895,0.4975369458,0.4925816024,0.4841040462
G06000109107026000442300U4,G06000104423022,060014423022,0.4938126105,0.5024630542,0.5074183976,0.5158959538
G06000109107026000442400U1,G06000104424001,060014424001,1.0,1.0,1.0,1.0
G06000109107026000442400U2,G06000104424002,060014424002,1.0,1.0,1.0,1.0
G06000109107026000442400U3,G06000104424003,060014424003,1.0,1.0,1.0,1.0
G06000109107026000442400U4,G06000104424004,060014424004,1.0,1.0,1.0,1.0
G06000109107026000442500U1,G06000104425001,060014425001,1.0,1.0,1.0,1.0
G06000109107026000442500U2,G06000104425002,060014425002,1.0,1.0,1.0,1.0
G06000109107026000442500U3,G06000104425003,060014425003,1.0,1.0,1.0,1.0
G06000109107026000442500U4,G06000104425004,060014425004,1.0,1.0,1.0,1.0
G06000109107026000442600U1,G06000104426011,060014426011,1.0,1.0,1.0,1.0
