"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"1400000US06001450751","Census Tract 4507.51, Alameda County, California","172292","46491","null","null",
"1400000US06001450752","Census Tract 4507.52, Alameda County, California","156250","23416","null","null",
"1400000US06001451101","Census Tract 4511.01, Alameda County, California","121848","19954","null","null",
"1400000US06001451102","Census Tract 4511.02, Alameda County, California","182534","15905","null","null",
"1400000US06001451201","Census Tract 4512.01, Alameda County, California","95295","11340","null","null",
"1400000US06001451202","Census Tract 4512.02, Alameda County, California","94864","6163","null","null",
"1400000US06001451300","Census Tract 4513, Alameda County, California","104961","16748","null","null",
"1400000US06001451401","Census Tract 4514.01, Alameda County, California","86930","15708","null","null",
"1400000US06001451403","Census Tract 4514.03, Alameda County, California","91875","11983","null","null",
"1400000US06001451404","Census Tract 4514.04, Alameda County, California","69452","7586","null","null",
"1400000US06001451501","Census Tract 4515.01, Alameda County, California","89722","18199","null","null",
