"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1400000US06001442302","Census Tract 4423.02, Alameda County, California","73871","null","13528","null",
"1400000US06001442400","Census Tract 4424, Alameda County, California","100656","null","10713","null",
"1400000US06001442500","Census Tract 4425, Alameda County, California","72445","null","6194","null",
"1400000US06001442601","Census Tract 4426.01, Alameda County, California","121719","null","23226","null",
"1400000US06001442602","Census Tract 4426.02, Alameda County, California","86020","null","12926","null",
"1400000US06001442700","Census Tract 4427, Alameda County, California","105395","null","29589","null",
"1400000US06001442800","Census Tract 4428, Alameda County, California","94300","null","4038","null",
"1400000US06001442900","Census Tract 4429, Alameda County, California","96875","null","14779","null",
"1400000US06001443001","Census Tract 4430.01, Alameda County, California","91979","null","13402","null",
"1400000US06001443002","Census Tract 4430.02, Alameda County, California","81000","null","5452","null",
"1400000US06001443102","Census Tract 4431.02, Alameda County, California","158060","null","10242","null",
"1400000US06001443103","Census Tract 4431.03, Alameda County, California","207460","null","23324","null",
"1400000US06001443104","Census Tract 4431.04, Alameda County, California","126827","null","14800","null",
"1400000US06001443105","Census Tract 4431.05, Alameda County, California","155268","null","23199","null",
"1400000US06001443200","Census Tract 4432, Alameda County, California","185625","null","44404","null",
"1400000US06001443301","Census Tract 4433.01, Alameda County, California","136250","null","18612","null",
"1400000US06001443321","Census Tract 4433.21, Alameda County, California","106250","null","11181","null",
"1400000US06001443322","Census Tract 4433.22, Alameda County, California","144659","null","15215","null",
"1400000US06001444100","Census Tract 4441, Alameda County, California","91598","null","9426","null",
"1400000US06001444200","Census Tract 4442, Alameda County, California","83684","null","8017","null",
"1400000US06001444301","Census Tract 4443.01, Alameda County, California","90294","null","13273","null",
"1400000US06001444302","Census Tract 4443.02, Alameda County, California","72924","null","13442","null",
"1400000US06001444400","Census Tract 4444, Alameda County, California","78922","null","11242","null",
"1400000US06001444500","Census Tract 4445, Alameda County, California","85379","null","9407","null",
"1400000US06001444601","Census Tract 4446.01, Alameda County, California","100165","null","14456","null",
"1400000US06001444602","Census Tract 4446.02, Alameda County, California","103476","null","8778","null",
"1400000US06001450101","Census Tract 4501.01, Alameda County, California","125238","null","13232","null",
"1400000US06001450102","Census Tract 4501.02, Alameda County, California","137543","null","12596","null",
"1400000US06001450200","Census Tract 4502, Alameda County, California","94844","null","14456","null",
"1400000US06001450300","Census Tract 4503, Alameda County, California","102750","null","11094","null",
"1400000US06001450400","Census Tract 4504, Alameda County, California","85870","null","19287","null",
"1400000US06001450501","Census Tract 4505.01, Alameda County, California","120089","null","19086","null",
"1400000US06001450502","Census Tract 4505.02, Alameda County, California","142037","null","13251","null",
"1400000US06001450601","Census Tract 4506.01, Alameda County, California","121319","null","26228","null",
"1400000US06001450602","Census Tract 4506.02, Alameda County, California","133784","null","10098","null",
"1400000US06001450603","Census Tract 4506.03, Alameda County, California","119625","null","11463","null",
"1400000US06001450604","Census Tract 4506.04, Alameda County, California","125313","null","19360","null",
"1400000US06001450605","Census Tract 4506.05, Alameda County, California","122198","null","8965","null",
"1400000US06001450606","Census Tract 4506.06, Alameda County, California","149779","null","16299","null",
"1400000US06001450607","Census Tract 4506.07, Alameda County, California","90739","null","14352","null",
"1400000US06001450701","Census Tract 4507.01, Alameda County, California","191932","null","22834","null",
"1400000US06001450741","Census Tract 4507.41, Alameda County, California","99412","null","15969","null",
"1400000US06001450742","Census Tract 4507.42, Alameda County, California","115000","null","9010","null",
"1400000US06001450743","Census Tract 4507.43, Alameda County, California","98750","null","21606","null",
"1400000US06001450744","Census Tract 4507.44, Alameda County, California","138393","null","15709","null",
"1400000US06001450745","Census Tract 4507.45, Alameda County, California","163850","null","27338","null",
"1400000US06001450746","Census Tract 4507.46, Alameda County, California","90855","null","33171","null",
"1400000US06001450750","Census Tract 4507.50, Alameda County, California","96273","null","13111","null",
"1400000US06001450751","Census Tract 4507.51, Alameda County, California","179148","null","10447","null",
"1400000US06001450752","Census Tract 4507.52, Alameda County, California","168616","null","15909","null",
"1400000US06001451101","Census Tract 4511.01, Alameda County, California","135375","null","27216","null",
"1400000US06001451102","Census Tract 4511.02, Alameda County, California","151522","null","16803","null",
"1400000US06001451201","Census Tract 4512.01, Alameda County, California","93887","null","8935","null",
"1400000US06001451202","Census Tract 4512.02, Alameda County, California","106914","null","15037","null",
"1400000US06001451300","Census Tract 4513, Alameda County, California","99911","null","19073","null",
